id	title	Подразделение	taskCategory	Сколько шагов	Промт подзаголовка	Промт шаг 1	Инструмент шаг 1	Промт шаг 2	Инструмент шаг 2	Промт шаг 3	Инструмент шаг 3	Промт шаг 4	Инструмент шаг 4	Промт шаг 5	Инструмент шаг 5
1	Карта потребностей подразделений и приоритизация спроса	Центр внедрений и развития спроса	Работа с анализом	5			Анализ документов		LLM / чат-модель		Табличная аналитика		LLM / чат-модель		Презентации / визуализация
2	Разбор обратной связи после пилотного внедрения	Центр внедрений и развития спроса	Работа с анализом	5			Анализ документов / speech-to-text		Speech-to-text		LLM / чат-модель		Табличная аналитика		Презентации / визуализация
3	Паспорт пилота из разрозненных материалов	Центр пилотирования технологий	Работа с документами	5			Анализ документов		LLM / чат-модель		Анализ документов		LLM / чат-модель		Анализ документов / презентации
4	Еженедельный мониторинг статуса пилота	Центр пилотирования технологий	Работа с анализом	5			Анализ документов / speech-to-text		Speech-to-text		LLM / чат-модель		LLM / чат-модель		Презентации / визуализация
5	Предварительный скрининг заявки на меру поддержки	Центр финансовых мер поддержки и экспертизы	Работа с документами	5			Анализ документов		LLM / чат-модель		Анализ документов		LLM / чат-модель		Анализ документов
6	Анализ обращений пользователей и приоритизация доработок	Центр развития цифровой инфраструктуры	Работа с анализом	5			Анализ документов		LLM / чат-модель		Табличная аналитика		LLM / чат-модель		Презентации / визуализация
7	Контент-план кампании по запуску инициативы	Центр коммуникаций и маркетинга	Работа с текстом	5			Анализ документов		LLM / чат-модель		Табличная аналитика		Табличная аналитика		Презентации / визуализация / генерация изображений
8	Сравнение коммерческих предложений по единым критериям	Центр закупочной деятельности	Работа с документами	5			Анализ документов		LLM / чат-модель		Табличная аналитика		LLM / чат-модель		Анализ документов / презентации
9	Обзор научно-технологических трендов по теме	Центр развития исследований и разработок	Работа с новостями и публикациями	5			Поиск и суммаризация материалов		LLM / чат-модель		Табличная аналитика		Табличная аналитика		Презентации / визуализация
10	Единый статус-репорт по спецпроекту из нескольких источников	Центр сопровождения специальных проектов	Работа с документами	5			Анализ документов		LLM / чат-модель		Табличная аналитика		LLM / чат-модель		Презентации / визуализация
11	Аналитическая записка по теме из набора источников	Аналитический центр	Работа с анализом	5			Поиск и суммаризация материалов / анализ документов		LLM / чат-модель		Табличная аналитика		Анализ документов		Анализ документов / презентации
12	Сбор требований к доработке ИС из обращений пользователей	Центр развития ИС РПП	Работа с анализом	5			Анализ документов		LLM / чат-модель		Табличная аналитика		LLM / чат-модель		Анализ документов
13	Презентация по проекту из черновых материалов	Центр визуальных коммуникаций	Работа с визуалом	5			Анализ документов		LLM / чат-модель		Презентации / визуализация		Презентации / визуализация		LLM / чат-модель
14	Анализ запросов резидентов и приоритизация сервисных улучшений	Центр развития ИЦ Сколково	Работа с анализом	5			Анализ документов		LLM / чат-модель		Табличная аналитика		LLM / чат-модель		Презентации / визуализация
15	Отчет по встречам с участниками и дорожная карта действий	Центр межотраслевых кластеров	Работа с документами	5			Анализ документов / speech-to-text		Speech-to-text		LLM / чат-модель		Табличная аналитика		Презентации / визуализация
